LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
Dutch defence,noun,1749,0,"Surrender, capitulation.",compound,,,Not in use,,,https://doi.org/10.1093/OED/7382629427,http://www.oed.com/dictionary/dutch-defence_n
father-in-law,verb,1749,0,transitive. To call (a man) father-in-law.,conversion,,,Not in use,,,https://doi.org/10.1093/OED/5224938715,http://www.oed.com/dictionary/father-in-law_v
knick-knackically,adverb,1749-,0,"In a knick-knackish way, frivolously.",derivative,,,In current use,,,https://doi.org/10.1093/OED/1385732808,http://www.oed.com/dictionary/knick-knackically_adv
prosai-comi-epic,adjective,1749,0,"Combining prosaic, comic, and epic qualities or…",compound,,,Not in use,,,https://doi.org/10.1093/OED/6024931431,http://www.oed.com/dictionary/prosai-comi-epic_adj
tarhood,noun,1749-,0,The general body of sailors; sailors collectively.,derivative,,,In current use,,transport/nautical,https://doi.org/10.1093/OED/3057851207,http://www.oed.com/dictionary/tarhood_n
urnary,noun,1750,0,The designing or making of urns.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/1209995011,http://www.oed.com/dictionary/urnary_n
diamond,verb,1751-,2,To make glittering like a diamond.,conversion,,,In current use,,,https://doi.org/10.1093/OED/2595024481,http://www.oed.com/dictionary/diamond_v
post-obit,"noun, adjective",1751-,2,Taking effect after someone's death. Esp. in…,borrowing,,,In current use,,law,https://doi.org/10.1093/OED/8055210455,http://www.oed.com/dictionary/post-obit_n
trousered,adjective,1752-,0,Wearing or dressed in trousers (in various…,derivative,,,In current use,,crafts and trades/costume,https://doi.org/10.1093/OED/1058265258,http://www.oed.com/dictionary/trousered_adj
intermingledom,noun,1753-,1,"= interminglement, n.",derivative,,,In current use,,,https://doi.org/10.1093/OED/5420803102,http://www.oed.com/dictionary/intermingledom_n
mutteration,noun,1753,0,The action of muttering.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/1205241229,http://www.oed.com/dictionary/mutteration_n
pray-pray,adjective,1753,0,Like a person saying ‘Pray! pray!’; beseeching or…,compound,,,Not in use,,,https://doi.org/10.1093/OED/6339859840,http://www.oed.com/dictionary/pray-pray_adj
reflectorial,adjective,1753-,1,"Physiology. = reflex, adj. I.3. rare.",derivative,,,In current use,,"sciences/medicine/neurology, sciences/medicine/physiology",https://doi.org/10.1093/OED/3965006346,http://www.oed.com/dictionary/reflectorial_adj
sentimentize,verb,1753,0,"intransitive. ? = sentimentalize, v. 1.",derivative,,,Not in use,,,https://doi.org/10.1093/OED/6982677045,http://www.oed.com/dictionary/sentimentize_v
strangleable,adjective,1753-,0,Capable of being strangled.,derivative,,,In current use,,,https://doi.org/10.1093/OED/6567822017,http://www.oed.com/dictionary/strangleable_adj
scolding-stock,noun,a1754-,1,An object for scolding.,compound,,,In current use,,,https://doi.org/10.1093/OED/2630256101,http://www.oed.com/dictionary/scolding-stock_n
extravaganza,noun,1754-,4,"A composition, literary, musical or dramatic, of…",borrowing,,,In current use,,"arts/performing arts/music, arts/performing arts/theatre",https://doi.org/10.1093/OED/5251397303,http://www.oed.com/dictionary/extravaganza_n
littered,adjective,1754-,4,"Employed or strewn as litter; also, scattered in…",derivative,,,In current use,,,https://doi.org/10.1093/OED/8953160884,http://www.oed.com/dictionary/littered_adj
parallelist,noun,1754-,3,A person who draws parallels or comparisons. Also…,derivative,,,In current use,,,https://doi.org/10.1093/OED/4159875269,http://www.oed.com/dictionary/parallelist_n
rusk,verb,1754-,2,transitive. To toast or crisp (bread or cake)…,conversion,,,In current use,,consumables/food and cooking,https://doi.org/10.1093/OED/8123298782,http://www.oed.com/dictionary/rusk_v2
seringahood,noun,1754,0,The condition of abounding in seringa blossom.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/9339401897,http://www.oed.com/dictionary/seringahood_n
throw-over,"adjective, noun",1754-,2,Of a piece of material: that can be draped or…,conversion,,,In current use,,crafts and trades,https://doi.org/10.1093/OED/4999955511,http://www.oed.com/dictionary/throw-over_adj
visitment,noun,1754-,0,A visit or visitation.,derivative,,,In current use,,,https://doi.org/10.1093/OED/9788964749,http://www.oed.com/dictionary/visitment_n
out-fort,verb,1755,0,transitive. To have more forts than.,derivative,,,Not in use,,military/fortification,https://doi.org/10.1093/OED/3260271909,http://www.oed.com/dictionary/out-fort_v
