LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
not-at-all,verb,1936-,2,intransitive. To say ‘not at all’. See not at all…,conversion,,,In current use,,,https://doi.org/10.1093/OED/4974286870,http://www.oed.com/dictionary/not-at-all_v
pants,verb,1936-,3,transitive. To pull down or remove the trousers…,conversion,,colloquial and slang,In current use,North American English/U.S. English,crafts and trades/costume,https://doi.org/10.1093/OED/4578744069,http://www.oed.com/dictionary/pants_v
skuldug,verb,1936-,0,transitive to extract by trickery.,backformation,,,In current use,,,https://doi.org/10.1093/OED/7737568536,http://www.oed.com/dictionary/skuldug_v
chumocracy,noun,1937-,0,A culture characterized or dominated by…,compound,,disparaging,In current use,,politics/British politics,https://doi.org/10.1093/OED/6938768499,http://www.oed.com/dictionary/chumocracy_n
ratsbany,adjective,1937-,0,Poisonous.,derivative,,,In current use,,,https://doi.org/10.1093/OED/5905172619,http://www.oed.com/dictionary/ratsbany_adj
wen-man,noun,1937-,0,A city-dweller.,compound,,,In current use,,,https://doi.org/10.1093/OED/9324566170,http://www.oed.com/dictionary/wen-man_n
age-new,adjective,1938-,0,"existing in the current age, recent.",compound,,poetic and literary,In current use,,,https://doi.org/10.1093/OED/9245687338,http://www.oed.com/dictionary/age-new_adj
post-official,adjective,1938-,1,Of or relating to a post office or its staff.,compound,,,In current use,,,https://doi.org/10.1093/OED/9019809958,http://www.oed.com/dictionary/post-official_adj
wantum,noun,1938-,2,"Deficiency or desire, considered as something…",blend,,,In current use,,,https://doi.org/10.1093/OED/4544105458,http://www.oed.com/dictionary/wantum_n
wardee,noun,1938-,0,An inmate of a hospital ward.,derivative,,,In current use,,sciences/medicine,https://doi.org/10.1093/OED/4371525572,http://www.oed.com/dictionary/wardee_n
inch-taped,adjective,1939-,0,Covered with inch-tape.,compound,,,In current use,,,https://doi.org/10.1093/OED/2639334913,http://www.oed.com/dictionary/inch-taped_adj
magnoperous,adjective,1939-,0,(Perhaps) operating in a grand manner.,,,,In current use,,,https://doi.org/10.1093/OED/5531842298,http://www.oed.com/dictionary/magnoperous_adj
nibcocked,adjective,1939-,0,Having a penis like the point of a pen.,derivative,,disparaging,In current use,,,https://doi.org/10.1093/OED/4803824622,http://www.oed.com/dictionary/nibcocked_adj
myth-haunt,verb,1940-,1,transitive. To haunt with myths.,compound,,,In current use,,,https://doi.org/10.1093/OED/2064163624,http://www.oed.com/dictionary/myth-haunt_v
pippet,noun,1940-,1,"A pip on a playing card. See pip, n.³ 1a.",derivative,,,In current use,,sport and leisure/games/cards,https://doi.org/10.1093/OED/8592035952,http://www.oed.com/dictionary/pippet_n
pratfallen,adjective,1940-,0,That has fallen on the buttocks.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1207634480,http://www.oed.com/dictionary/pratfallen_adj
starchitect,noun,1940-,1,"A famous architect, esp. (disparaging) one whose…",blend,,"colloquial and slang, disparaging",In current use,,manufacturing and industry/building/architecture,https://doi.org/10.1093/OED/1367094530,http://www.oed.com/dictionary/starchitect_n
solificatio,noun,1941-,1,A radiating warmth as of sunshine.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1092547517,http://www.oed.com/dictionary/solificatio_n
de-identify,verb,1942-,3,transitive. To remove or alter personal…,derivative,,,In current use,,,https://doi.org/10.1093/OED/7001209059,http://www.oed.com/dictionary/de-identify_v
