lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
drinkable,DRINKABLE,9,"adjective, noun",1611-,1611,4,derivative,"That may be drunk, suitable for drinking, potable.",printed date range,http://www.oed.com/dictionary/drinkable_adj
Gothic,GOTHIC,6,"adjective, noun",1611-,1611,5,borrowing,"Of, pertaining to, or concerned with the Goths or…",printed date range,http://www.oed.com/dictionary/gothic_adj
hayey,HAYEY,5,adjective,1611-,1611,1,derivative,Of the nature of or resembling hay.,printed date range,http://www.oed.com/dictionary/hayey_adj
synonymize,SYNONYMIZE,10,verb,1611-,1611,3,borrowing,To use synonyms; to express the same meaning by…,printed date range,http://www.oed.com/dictionary/synonymize_v
tremulous,TREMULOUS,9,adjective,1611-,1611,4,borrowing,"Of persons, their limbs, etc.: Characterized or…",printed date range,http://www.oed.com/dictionary/tremulous_adj
wafty,WAFTY,5,adjective,1611-,1611,2,derivative,Of the wind: That wafts a perfume.,printed date range,http://www.oed.com/dictionary/wafty_adj
whatness,WHATNESS,8,noun,1611-,1611,3,derivative,That which makes a thing what it is; essential…,printed date range,http://www.oed.com/dictionary/whatness_n
woodcockize,WOODCOCKIZE,11,verb,1611-,1611,0,derivative,"(transitive) to make a ‘woodcock’ of, to befool.",printed date range,http://www.oed.com/dictionary/woodcockize_v
meteoric,METEORIC,8,adjective,?1612-,1612,4,derivative,"Astronomy. Of, relating to, derived from, or…",printed date range,http://www.oed.com/dictionary/meteoric_adj
smockage,SMOCKAGE,8,noun,1612-,1612,0,derivative,(See quot. 1612.),printed date range,http://www.oed.com/dictionary/smockage_n
tavernly,TAVERNLY,8,adjective,1612-,1612,0,derivative,Smacking of the tavern.,printed date range,http://www.oed.com/dictionary/tavernly_adj
harbingership,HARBINGERSHIP,13,noun,1613-,1613,0,derivative,The office or position of a harbinger.,printed date range,http://www.oed.com/dictionary/harbingership_n
shelly,SHELLY,6,noun,1613-,1613,1,derivative,A shell.,printed date range,http://www.oed.com/dictionary/shelly_n
specialize,SPECIALIZE,10,verb,1613-,1613,6,derivative,"transitive. To make special, specific, or…",printed date range,http://www.oed.com/dictionary/specialize_v
stiletto,STILETTO,8,verb,1613-,1613,2,conversion,"transitive. To stab, esp. mortally, with a stiletto.",printed date range,http://www.oed.com/dictionary/stiletto_v
taurine,TAURINE,7,"adjective, noun",1613-,1613,4,borrowing,"Of, pertaining to, of the nature of, or…",printed date range,http://www.oed.com/dictionary/taurine_adj
Dagonals,DAGONALS,8,noun,1614-,1614,0,,(plural) rites or orgies in honour of Dagon.,printed date range,http://www.oed.com/dictionary/dagonals_n
contraband,CONTRABAND,10,verb,1615-,1615,2,conversion,intransitive. To smuggle.,printed date range,http://www.oed.com/dictionary/contraband_v1
dive-dopping,DIVEDOPPING,11,adjective,1615-,1615,0,,Diving or ducking like a dabchick.,printed date range,http://www.oed.com/dictionary/dive-dopping_adj
sancticolist,SANCTICOLIST,12,noun,1615-,1615,0,borrowing,A worshipper of saints.,printed date range,http://www.oed.com/dictionary/sancticolist_n
shapeful,SHAPEFUL,8,adjective,?1615-,1615,1,derivative,Shapely.,printed date range,http://www.oed.com/dictionary/shapeful_adj
