lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
tintinnabulism,TINTINNABULISM,14,noun,1826-,1826,0,borrowing,The art or practice of bell-ringing.,printed date range,http://www.oed.com/dictionary/tintinnabulism_n
tipsy-topsy,TIPSYTOPSY,10,adjective,1826-,1826,0,,Upset or in disorder as if tipsy.,printed date range,http://www.oed.com/dictionary/tipsy-topsy_adj
tutorify,TUTORIFY,8,verb,1826-,1826,0,derivative,transitive. To make or render tutorial.,printed date range,http://www.oed.com/dictionary/tutorify_v
brute-bastille,BRUTEBASTILLE,13,noun,1827-,1827,0,compound,A menagerie.,printed date range,http://www.oed.com/dictionary/brute-bastille_n
compackability,COMPACKABILITY,14,noun,1827-,1827,0,derivative,Capability of being packed close together.,printed date range,http://www.oed.com/dictionary/compackability_n
consortish,CONSORTISH,10,adjective,1827-,1827,0,derivative,Like consorts.,printed date range,http://www.oed.com/dictionary/consortish_adj
dislocatee,DISLOCATEE,10,noun,1827-,1827,2,derivative,One who is dislocated or displaced.,printed date range,http://www.oed.com/dictionary/dislocatee_n
Finnicize,FINNICIZE,9,verb,1827-,1827,2,derivative,To give a Finnish form to.,printed date range,http://www.oed.com/dictionary/finnicize_v
gravitate,GRAVITATE,9,adjective,1827-,1827,2,borrowing,Endowed with gravity.,printed date range,http://www.oed.com/dictionary/gravitate_adj
lukewarmish,LUKEWARMISH,11,adjective,1827-,1827,1,derivative,Rather lukewarm.,printed date range,http://www.oed.com/dictionary/lukewarmish_adj
stirrup-fast,STIRRUPFAST,11,adjective,1827-,1827,0,compound,Having the feet secure in the stirrups.,printed date range,http://www.oed.com/dictionary/stirrup-fast_adj
swimmy,SWIMMY,6,adjective,1827-,1827,2,derivative,Inclined to dizziness or giddiness. Also in…,printed date range,http://www.oed.com/dictionary/swimmy_adj
symphronistic,SYMPHRONISTIC,13,adjective,1827-,1827,1,,Involving coincidence or identity of thought…,printed date range,http://www.oed.com/dictionary/symphronistic_adj
confective,CONFECTIVE,10,adjective,1828-,1828,0,borrowing,Pertaining to the making of confections.,printed date range,http://www.oed.com/dictionary/confective_adj
conjecturist,CONJECTURIST,12,noun,1828-,1828,0,derivative,One who deals in conjectures.,printed date range,http://www.oed.com/dictionary/conjecturist_n
gelotometer,GELOTOMETER,11,noun,1828-,1828,0,borrowing,A gauge for measuring laughter.,printed date range,http://www.oed.com/dictionary/gelotometer_n
gimlet,GIMLET,6,verb,1828-,1828,2,conversion,transitive. To pierce with or as with a gimlet.,printed date range,http://www.oed.com/dictionary/gimlet_v
grazierdom,GRAZIERDOM,10,noun,1828-,1828,0,derivative,The realm or world of graziers.,printed date range,http://www.oed.com/dictionary/grazierdom_n
gular,GULAR,5,adjective,1828-,1828,3,derivative,"Of, pertaining to, or situated upon the gula.",printed date range,http://www.oed.com/dictionary/gular_adj
lithograph,LITHOGRAPH,10,noun,1828-,1828,4,compound,A lithographic print. Also attributive.,printed date range,http://www.oed.com/dictionary/lithograph_n
psychozoic,PSYCHOZOIC,10,adjective,1828-,1828,2,compound,†a. Involving both the mind and the living body…,printed date range,http://www.oed.com/dictionary/psychozoic_adj
autometry,AUTOMETRY,9,noun,1829-,1829,1,compound,Mathematics. An isometry of a metric space to itself.,printed date range,http://www.oed.com/dictionary/autometry_n
Christmasly,CHRISTMASLY,11,adverb,1829-,1829,1,derivative,"In a manner typical of, or appropriate to…",printed date range,http://www.oed.com/dictionary/christmasly_adv
coax,COAX,4,noun,1829-,1829,3,conversion,colloquial. One who coaxes.,printed date range,http://www.oed.com/dictionary/coax_n1
cursee,CURSEE,6,noun,1829-,1829,1,derivative,One who is cursed.,printed date range,http://www.oed.com/dictionary/cursee_n
extravolution,EXTRAVOLUTION,13,noun,1829-,1829,1,borrowing,A rolling outwards; opposed to intravolution.,printed date range,http://www.oed.com/dictionary/extravolution_n
foliophagous,FOLIOPHAGOUS,12,adjective,1829-,1829,0,borrowing,figurative. That devours folios.,printed date range,http://www.oed.com/dictionary/foliophagous_adj
inconsequentism,INCONSEQUENTISM,15,noun,1829-,1829,0,derivative,"= inconsequence, n. 3.",printed date range,http://www.oed.com/dictionary/inconsequentism_n
journalistic,JOURNALISTIC,12,"adjective, noun",1829-,1829,5,derivative,Of or pertaining to journalists or journalism…,printed date range,http://www.oed.com/dictionary/journalistic_adj
reheater,REHEATER,8,noun,1829-,1829,3,derivative,An apparatus or device for reheating.,printed date range,http://www.oed.com/dictionary/reheater_n
saltativeness,SALTATIVENESS,13,noun,1829-,1829,0,borrowing,The faculty of leaping or jumping.,printed date range,http://www.oed.com/dictionary/saltativeness_n
stabularian,STABULARIAN,11,adjective,1829-,1829,0,borrowing,Belonging to a stable.,printed date range,http://www.oed.com/dictionary/stabularian_adj
struttle,STRUTTLE,8,noun,1829-,1829,1,derivative,A petty strut or manner of strutting.,printed date range,http://www.oed.com/dictionary/struttle_n2
warping,WARPING,7,noun,1829-,1829,1,derivative,The mole's action of throwing up earth into mole-hills.,printed date range,http://www.oed.com/dictionary/warping_n2
animated film,ANIMATEDFILM,12,noun,1830-,1830,4,compound,Originally: †a film with live action (obsolete)…,printed date range,http://www.oed.com/dictionary/animated-film_n
bucolism,BUCOLISM,8,noun,1830-,1830,0,derivative,A rustic phrase or characteristic.,printed date range,http://www.oed.com/dictionary/bucolism_n
burschenism,BURSCHENISM,11,noun,1830-,1830,0,derivative,The manner and customs of the burschen.,printed date range,http://www.oed.com/dictionary/burschenism_n
cantitate,CANTITATE,9,verb,1830-,1830,1,borrowing,intransitive. To sing as a bird. (Used contemptuously.),printed date range,http://www.oed.com/dictionary/cantitate_v
cigared,CIGARED,7,adjective,1830-,1830,1,derivative,Furnished with a cigar.,printed date range,http://www.oed.com/dictionary/cigared_adj
cobble-text,COBBLETEXT,10,noun,1830-,1830,0,compound,A preacher who deals clumsily and unskilfully…,printed date range,http://www.oed.com/dictionary/cobble-text_n
conversation,CONVERSATION,12,verb,1830-,1830,2,conversion,"intransitive. To converse, talk, engage in…",printed date range,http://www.oed.com/dictionary/conversation_v
cotyledonous,COTYLEDONOUS,12,adjective,1830-,1830,2,derivative,Characterized by the presence of cotyledons.,printed date range,http://www.oed.com/dictionary/cotyledonous_adj
dapperism,DAPPERISM,9,noun,1830-,1830,0,derivative,"The style, manners, etc. of a dapper person.",printed date range,http://www.oed.com/dictionary/dapperism_n
double-ganger,DOUBLEGANGER,12,noun,1830-,1830,2,borrowing,"The apparition of a living person; a double, a wraith.",printed date range,http://www.oed.com/dictionary/double-ganger_n
farcy,FARCY,5,verb,1830-,1830,1,borrowing,transitive. To stuff.,printed date range,http://www.oed.com/dictionary/farcy_v
garlandy,GARLANDY,8,adjective,1830-,1830,0,derivative,Resembling garlands.,printed date range,http://www.oed.com/dictionary/garlandy_adj
garlic,GARLIC,6,verb,1830-,1830,3,conversion,To dose with garlic.,printed date range,http://www.oed.com/dictionary/garlic_v
gnosticity,GNOSTICITY,10,noun,1830-,1830,0,derivative,Knowingness; pretensions to knowledge.,printed date range,http://www.oed.com/dictionary/gnosticity_n
graocracy,GRAOCRACY,9,noun,1830-,1830,0,borrowing,Government by an old woman or old women.,printed date range,http://www.oed.com/dictionary/graocracy_n
inverminate,INVERMINATE,11,verb,1830-,1830,0,borrowing,transitive. To infest like worms; to swarm or…,printed date range,http://www.oed.com/dictionary/inverminate_v
luggee,LUGGEE,6,noun,1830-,1830,0,derivative,One who is lugged or pulled.,printed date range,http://www.oed.com/dictionary/luggee_n
taskage,TASKAGE,7,noun,1830-,1830,0,derivative,Tasking; imposed labour; tasks collectively.,printed date range,http://www.oed.com/dictionary/taskage_n
transuterine,TRANSUTERINE,12,adjective,1830-,1830,2,borrowing,Beyond or outside of the womb.,printed date range,http://www.oed.com/dictionary/transuterine_adj
whisperable,WHISPERABLE,11,adjective,1830-,1830,0,derivative,That can be whispered.,printed date range,http://www.oed.com/dictionary/whisperable_adj
convolant,CONVOLANT,9,adjective,1831-,1831,1,borrowing,Flying in company.,printed date range,http://www.oed.com/dictionary/convolant_adj
dandy-land,DANDYLAND,9,noun,1831-,1831,0,compound,The (imaginary) land of dandies.,printed date range,http://www.oed.com/dictionary/dandy-land_n
donkeyish,DONKEYISH,9,adjective,1831-,1831,1,derivative,"Like a donkey, asinine; stupid, foolish.",printed date range,http://www.oed.com/dictionary/donkeyish_adj
Egyptize,EGYPTIZE,8,verb,1831-,1831,1,proper name,intransitive. To refer things to Egyptian sources.,printed date range,http://www.oed.com/dictionary/egyptize_v
metabolize,METABOLIZE,10,verb,1831-,1831,5,borrowing,transitive. To process (a substance or food item)…,printed date range,http://www.oed.com/dictionary/metabolize_v
shark's head,SHARKSHEAD,10,noun,1831-,1831,2,compound,A jocular name for the elongated prow of a grab.,printed date range,http://www.oed.com/dictionary/sharks-head_n
theomisanthropist,THEOMISANTHROPIST,17,noun,1831-,1831,0,compound,One who hates God and man.,printed date range,http://www.oed.com/dictionary/theomisanthropist_n
venisonivorous,VENISONIVOROUS,14,adjective,1831-,1831,0,derivative,Given to eating venison.,printed date range,http://www.oed.com/dictionary/venisonivorous_adj
window plant,WINDOWPLANT,11,noun,1831-,1831,2,compound,A plant grown indoors on a windowsill or close to…,printed date range,http://www.oed.com/dictionary/window-plant_n
bloomery,BLOOMERY,8,noun,1832-,1832,2,derivative,A collection or place full of blooms.,printed date range,http://www.oed.com/dictionary/bloomery_n2
bus,BUS,3,noun,1832-,1832,6,shortening,A large public vehicle carrying passengers by…,printed date range,http://www.oed.com/dictionary/bus_n1
cathedrarian,CATHEDRARIAN,12,adjective,1832-,1832,0,borrowing,Of or belonging to a cathedra or chair (pedantic).,printed date range,http://www.oed.com/dictionary/cathedrarian_adj
dandyic,DANDYIC,7,adjective,1832-,1832,0,derivative,Dandyish.,printed date range,http://www.oed.com/dictionary/dandyic_adj
deericide,DEERICIDE,9,noun,1832-,1832,0,compound,The killing or killer of a deer.,printed date range,http://www.oed.com/dictionary/deericide_n
ex-aspirate,EXASPIRATE,10,verb,1832-,1832,0,derivative,transitive. To deprive of an aspirate or h.,printed date range,http://www.oed.com/dictionary/ex-aspirate_v
gutturize,GUTTURIZE,9,verb,1832-,1832,1,derivative,transitive. To enunciate gutturally.,printed date range,http://www.oed.com/dictionary/gutturize_v
hawkery,HAWKERY,7,noun,1832-,1832,1,derivative,A place where hawks are kept.,printed date range,http://www.oed.com/dictionary/hawkery_n
illeist,ILLEIST,7,noun,1832-,1832,0,,"One who makes much use of the pronoun he, or…",printed date range,http://www.oed.com/dictionary/illeist_n
symbol,SYMBOL,6,verb,1832-,1832,3,conversion,"transitive. = symbolize, v.¹ II.3.",printed date range,http://www.oed.com/dictionary/symbol_v
sympatetic,SYMPATETIC,10,noun,1832-,1832,0,,"A fellow-walker, a companion in a walk.",printed date range,http://www.oed.com/dictionary/sympatetic_n
cacogastric,CACOGASTRIC,11,adjective,1833-,1833,0,compound,Having a deranged stomach.,printed date range,http://www.oed.com/dictionary/cacogastric_adj
carbonometer,CARBONOMETER,12,noun,1833-,1833,0,compound,An instrument for detecting or measuring (excess)…,printed date range,http://www.oed.com/dictionary/carbonometer_n
conferencize,CONFERENCIZE,12,verb,1833-,1833,0,derivative,intransitive. To hold a conference.,printed date range,http://www.oed.com/dictionary/conferencize_v
jack,JACK,4,verb,1833-,1833,5,conversion,transitive. To raise or hoist by means of a jack…,printed date range,http://www.oed.com/dictionary/jack_v2
swabification,SWABIFICATION,13,noun,1833-,1833,0,derivative,Mopping.,printed date range,http://www.oed.com/dictionary/swabification_n
ununionized,UNUNIONIZED,11,adjective,1833-,1833,2,derivative,Not belonging to a trade union; characterized by…,printed date range,http://www.oed.com/dictionary/ununionized_adj
avicide,AVICIDE,7,noun,1834-,1834,2,borrowing,"The slaughter of birds, bird-shooting.",printed date range,http://www.oed.com/dictionary/avicide_n
bolero,BOLERO,6,verb,1834-,1834,2,conversion,To dance a bolero.,printed date range,http://www.oed.com/dictionary/bolero_v
chessite,CHESSITE,8,noun,1834-,1834,0,derivative,"A partizan of chess, n.¹",printed date range,http://www.oed.com/dictionary/chessite_n
con-actor,CONACTOR,8,noun,1834-,1834,0,derivative,A joint agent.,printed date range,http://www.oed.com/dictionary/con-actor_n
criterional,CRITERIONAL,11,adjective,a1834-,1834,2,derivative,Of or relating to a criterion.,printed date range,http://www.oed.com/dictionary/criterional_adj
demic,DEMIC,5,adjective,1834-,1834,3,borrowing,Belonging to or characteristic of the people.,printed date range,http://www.oed.com/dictionary/demic_adj
Dianize,DIANIZE,7,verb,1834-,1834,0,derivative,intransitive. To spend the night with the moon…,printed date range,http://www.oed.com/dictionary/dianize_v
drudgism,DRUDGISM,8,noun,1834-,1834,0,derivative,The practice of a drudge.,printed date range,http://www.oed.com/dictionary/drudgism_n
dysangelical,DYSANGELICAL,12,adjective,1834-,1834,0,derivative,Used in opposition to evangelical.,printed date range,http://www.oed.com/dictionary/dysangelical_adj
exforcipate,EXFORCIPATE,11,verb,a1834-,1834,0,borrowing,transitive. To extract with a forceps. In quot…,printed date range,http://www.oed.com/dictionary/exforcipate_v
exhibitionize,EXHIBITIONIZE,13,verb,1834-,1834,0,derivative,(intransitive) to frequent exhibitions.,printed date range,http://www.oed.com/dictionary/exhibitionize_v
fancyette,FANCYETTE,9,noun,a1834-,1834,0,derivative,A little fancy.,printed date range,http://www.oed.com/dictionary/fancyette_n
fandango,FANDANGO,8,verb,1834-,1834,2,conversion,To dance a fandango.,printed date range,http://www.oed.com/dictionary/fandango_v
fenhood,FENHOOD,7,noun,1834-,1834,0,derivative,Fens collectively.,printed date range,http://www.oed.com/dictionary/fenhood_n
flounder-flat,FLOUNDERFLAT,12,verb,a1834-,1834,0,compound,transitive. To make ‘as flat as a flounder’.,printed date range,http://www.oed.com/dictionary/flounder-flat_v
gnathonism,GNATHONISM,10,noun,a1834-,1834,0,borrowing,Sycophancy.,printed date range,http://www.oed.com/dictionary/gnathonism_n
impossibilification,IMPOSSIBILIFICATION,19,noun,a1834-,1834,0,derivative,A rendering impossible.,printed date range,http://www.oed.com/dictionary/impossibilification_n
infidelism,INFIDELISM,10,noun,a1834-,1834,2,derivative,A system based on unbelief in religion.,printed date range,http://www.oed.com/dictionary/infidelism_n
interadditive,INTERADDITIVE,13,noun,a1834-,1834,1,derivative,Something added or inserted between or among…,printed date range,http://www.oed.com/dictionary/interadditive_n
lawnly,LAWNLY,6,adverb,1834-,1834,1,derivative,After the manner of a wearer of lawn.,printed date range,http://www.oed.com/dictionary/lawnly_adv
lollification,LOLLIFICATION,13,noun,1834-,1834,0,derivative,"Lolling, lounging.",printed date range,http://www.oed.com/dictionary/lollification_n
manning-piece,MANNINGPIECE,12,noun,1834-,1834,0,compound,A fowling-piece used to shoot men.,printed date range,http://www.oed.com/dictionary/manning-piece_n
sapientize,SAPIENTIZE,10,verb,a1834-,1834,2,derivative,transitive. To make sapient or wise.,printed date range,http://www.oed.com/dictionary/sapientize_v
sterilifidianism,STERILIFIDIANISM,16,noun,a1834-,1834,0,borrowing,Belief in the sufficiency of a ‘barren’ faith.,printed date range,http://www.oed.com/dictionary/sterilifidianism_n
tintinnabule,TINTINNABULE,12,noun,1834-,1834,0,borrowing,A bell.,printed date range,http://www.oed.com/dictionary/tintinnabule_n
trades body,TRADESBODY,10,noun,1834-,1834,1,compound,†a. disparaging a tradesman (obsolete); b. =…,printed date range,http://www.oed.com/dictionary/trades-body_n
tramification,TRAMIFICATION,13,noun,1834-,1834,0,derivative,The construction of a tramway.,printed date range,http://www.oed.com/dictionary/tramification_n
transcreate,TRANSCREATE,11,verb,a1834-,1834,2,derivative,transitive. To create by or in the way of transmission.,printed date range,http://www.oed.com/dictionary/transcreate_v
twirlification,TWIRLIFICATION,14,noun,1834-,1834,0,derivative,"Twirling, gyrating.",printed date range,http://www.oed.com/dictionary/twirlification_n
wiseacreish,WISEACREISH,11,adjective,1834-,1834,0,derivative,Like or characteristic of a wiseacre.,printed date range,http://www.oed.com/dictionary/wiseacreish_adj
Yankland,YANKLAND,8,noun,1834-,1834,0,compound,"The land of the Yankees, America.",printed date range,http://www.oed.com/dictionary/yankland_n
canivorous,CANIVOROUS,10,adjective,1835-,1835,1,borrowing,Dog-devouring.,printed date range,http://www.oed.com/dictionary/canivorous_adj
contubernian,CONTUBERNIAN,12,noun,1835-,1835,0,borrowing,"= contubernal, n.",printed date range,http://www.oed.com/dictionary/contubernian_n
effluvient,EFFLUVIENT,10,adjective,1835-,1835,1,variant,Extremely fluent.,printed date range,http://www.oed.com/dictionary/effluvient_adj
falsism,FALSISM,7,noun,1835-,1835,2,derivative,"a. ‘An assertion or statement, the falsity of…",printed date range,http://www.oed.com/dictionary/falsism_n
forbiddal,FORBIDDAL,9,noun,1835-,1835,1,derivative,The act of forbidding.,printed date range,http://www.oed.com/dictionary/forbiddal_n
illocomotive,ILLOCOMOTIVE,12,adjective,1835-,1835,0,derivative,"Not locomotive, not moving readily.",printed date range,http://www.oed.com/dictionary/illocomotive_adj
lousologist,LOUSOLOGIST,11,noun,1835-,1835,0,compound,One who has a scientific knowledge of lice.,printed date range,http://www.oed.com/dictionary/lousologist_n
lynch,LYNCH,5,verb,1835-,1835,5,proper name,transitive. To inflict extralegal summary…,printed date range,http://www.oed.com/dictionary/lynch_v
stelliscript,STELLISCRIPT,12,noun,1835-,1835,0,borrowing,A writing in the stars.,printed date range,http://www.oed.com/dictionary/stelliscript_n
typarchical,TYPARCHICAL,11,adjective,1835-,1835,0,compound,Of or pertaining to the control of the printing-press.,printed date range,http://www.oed.com/dictionary/typarchical_adj
whifflery,WHIFFLERY,9,noun,1835-,1835,0,derivative,Action characteristic of a whiffler; trifling.,printed date range,http://www.oed.com/dictionary/whifflery_n
windbreak,WINDBREAK,9,noun,1835-,1835,4,compound,"Originally U.S. Something, esp. a row of trees…",printed date range,http://www.oed.com/dictionary/windbreak_n
Big Apple,BIGAPPLE,8,noun,1836-,1836,4,compound,With the. The city of New York.,printed date range,http://www.oed.com/dictionary/big-apple_n
capric,CAPRIC,6,adjective,1836-,1836,3,borrowing,Of or belonging to a goat.,printed date range,http://www.oed.com/dictionary/capric_adj
ceticide,CETICIDE,8,noun,1836-,1836,0,borrowing,A whale-killer.,printed date range,http://www.oed.com/dictionary/ceticide_n
eccentrize,ECCENTRIZE,10,verb,1836-,1836,0,derivative,To play the eccentric (quasi-reflexive in quot. 1836).,printed date range,http://www.oed.com/dictionary/eccentrize_v
elongative,ELONGATIVE,10,adjective,1836-,1836,0,derivative,That tends to elongate or lengthen out: see quot. 1836.,printed date range,http://www.oed.com/dictionary/elongative_adj
literatize,LITERATIZE,10,verb,1836-,1836,0,derivative,transitive. To invest with literary character; to…,printed date range,http://www.oed.com/dictionary/literatize_v
rectangulate,RECTANGULATE,12,verb,1836-,1836,2,borrowing,transitive. To place at right angles; to divide…,printed date range,http://www.oed.com/dictionary/rectangulate_v
tittlebatian,TITTLEBATIAN,12,adjective,1836-,1836,0,derivative,Relating to tittlebats.,printed date range,http://www.oed.com/dictionary/tittlebatian_adj
Tritonic,TRITONIC,8,adjective,1836-,1836,1,derivative,Of or pertaining to a Triton or Tritons.,printed date range,http://www.oed.com/dictionary/tritonic_adj
wigful,WIGFUL,6,noun,1836-,1836,0,derivative,As much as fills a wig.,printed date range,http://www.oed.com/dictionary/wigful_n
barristration,BARRISTRATION,13,noun,1837-,1837,0,derivative,The action of a barrister.,printed date range,http://www.oed.com/dictionary/barristration_n
capricornity,CAPRICORNITY,12,noun,1837-,1837,0,derivative,Goat-horned or he-goat quality.,printed date range,http://www.oed.com/dictionary/capricornity_n
colaphic,COLAPHIC,8,adjective,1837-,1837,0,borrowing,Of or pertaining to a blow or buffet.,printed date range,http://www.oed.com/dictionary/colaphic_adj
colloquacious,COLLOQUACIOUS,13,adjective,1837-,1837,0,borrowing,Given to colloquy.,printed date range,http://www.oed.com/dictionary/colloquacious_adj
convivialize,CONVIVIALIZE,12,verb,1837-,1837,0,derivative,intransitive. To practise conviviality.,printed date range,http://www.oed.com/dictionary/convivialize_v
culottic,CULOTTIC,8,adjective,1837-,1837,1,borrowing,"Wearing breeches, respectable, as opposed to…",printed date range,http://www.oed.com/dictionary/culottic_adj
dameship,DAMESHIP,8,noun,1837-,1837,0,derivative,The office or position of a dame.,printed date range,http://www.oed.com/dictionary/dameship_n
dinnerly,DINNERLY,8,adverb,1837-,1837,0,derivative,For or by one's dinner.,printed date range,http://www.oed.com/dictionary/dinnerly_adv
dyslogy,DYSLOGY,7,noun,1837-,1837,1,derivative,"Dispraise, censure: the opposite of eulogy.",printed date range,http://www.oed.com/dictionary/dyslogy_n
fearling,FEARLING,8,noun,1837-,1837,0,derivative,A creature that fears.,printed date range,http://www.oed.com/dictionary/fearling_n
goosified,GOOSIFIED,9,adjective,1837-,1837,0,derivative,Affected with ‘goose-flesh’.,printed date range,http://www.oed.com/dictionary/goosified_adj
hearsay,HEARSAY,7,verb,1837-,1837,2,conversion,(intransitive) to tell what one has heard; to…,printed date range,http://www.oed.com/dictionary/hearsay_v
siroccoish,SIROCCOISH,10,adjective,1837-,1837,0,derivative,Somewhat resembling that produced by the sirocco…,printed date range,http://www.oed.com/dictionary/siroccoish_adj
stagnature,STAGNATURE,10,noun,1837-,1837,0,derivative,The state or condition of being stagnant.,printed date range,http://www.oed.com/dictionary/stagnature_n
twaddledom,TWADDLEDOM,10,noun,1837-,1837,0,derivative,"The realm of twaddle, the habit of uttering twaddle.",printed date range,http://www.oed.com/dictionary/twaddledom_n
wagling,WAGLING,7,noun,1837-,1837,1,derivative,A little wag.,printed date range,http://www.oed.com/dictionary/wagling_n
cerebroscope,CEREBROSCOPE,12,noun,1838-,1838,2,compound,After horoscope (see quot).,printed date range,http://www.oed.com/dictionary/cerebroscope_n
climed,CLIMED,6,adjective,1838-,1838,2,derivative,Allotted to a (particular) clime.,printed date range,http://www.oed.com/dictionary/climed_adj
cormorancy,CORMORANCY,10,noun,1838-,1838,0,derivative,A body of cormorants; a greedy oppressive class.,printed date range,http://www.oed.com/dictionary/cormorancy_n
cunopic,CUNOPIC,7,adjective,1838-,1838,0,borrowing,"= cynopic, adj.",printed date range,http://www.oed.com/dictionary/cunopic_adj
destinarian,DESTINARIAN,11,noun,1838-,1838,1,derivative,A believer in destiny.,printed date range,http://www.oed.com/dictionary/destinarian_n
flimsify,FLIMSIFY,8,verb,1838-,1838,0,derivative,transitive. To render flimsy.,printed date range,http://www.oed.com/dictionary/flimsify_v
flingy,FLINGY,6,adjective,1838-,1838,1,derivative,Inclined to fling or move abruptly; jerky.,printed date range,http://www.oed.com/dictionary/flingy_adj
gooseberryologist,GOOSEBERRYOLOGIST,17,noun,1838-,1838,0,compound,A person who studies gooseberries.,printed date range,http://www.oed.com/dictionary/gooseberryologist_n
heteroepy,HETEROEPY,9,noun,1838-,1838,0,compound,Pronunciation differing from the standard.,printed date range,http://www.oed.com/dictionary/heteroepy_n
heteromaton,HETEROMATON,11,noun,1838-,1838,0,compound,A thing that is moved by something else.,printed date range,http://www.oed.com/dictionary/heteromaton_n
jackass,JACKASS,7,verb,1838-,1838,4,conversion,Originally and chiefly North American…,printed date range,http://www.oed.com/dictionary/jackass_v
kritarchy,KRITARCHY,9,noun,1838-,1838,1,borrowing,"The rule, or period of rule, of the Judges in…",printed date range,http://www.oed.com/dictionary/kritarchy_n
victimologist,VICTIMOLOGIST,13,noun,1838-,1838,0,compound,A person who studies the victims of crime; an…,printed date range,http://www.oed.com/dictionary/victimologist_n
beauidealize,BEAUIDEALIZE,12,verb,a1839-,1839,0,derivative,"To form a beau ideal, or charming conception, of.",printed date range,http://www.oed.com/dictionary/beauidealize_v
column,COLUMN,6,verb,1839-,1839,3,conversion,intransitive. To form or move in column.,printed date range,http://www.oed.com/dictionary/column_v
decapillatory,DECAPILLATORY,13,adjective,1839-,1839,0,borrowing,Pertaining to the removal of hair from the head…,printed date range,http://www.oed.com/dictionary/decapillatory_adj
decorist,DECORIST,8,noun,1839-,1839,1,derivative,One attached to artistic proprieties.,printed date range,http://www.oed.com/dictionary/decorist_n
depullulation,DEPULLULATION,13,noun,1839-,1839,0,borrowing,Removal or plucking off of sprouts.,printed date range,http://www.oed.com/dictionary/depullulation_n
dyspneumony,DYSPNEUMONY,11,noun,1839-,1839,0,derivative,Disease or affection of the lungs.,printed date range,http://www.oed.com/dictionary/dyspneumony_n
eucnemidal,EUCNEMIDAL,10,adjective,1839-,1839,0,borrowing,Pertaining to a well-greaved man; hence quasi-n…,printed date range,http://www.oed.com/dictionary/eucnemidal_adj
frictionary,FRICTIONARY,11,adjective,1839-,1839,0,derivative,"= frictional, adj.",printed date range,http://www.oed.com/dictionary/frictionary_adj
imbeam,IMBEAM,6,verb,1839-,1839,0,derivative,transitive. To cast as a beam.,printed date range,http://www.oed.com/dictionary/imbeam_v
lampist,LAMPIST,7,noun,1839-,1839,1,borrowing,"One skilled in, or employed in, the construction…",printed date range,http://www.oed.com/dictionary/lampist_n
sea,SEA,3,verb,1839-,1839,2,conversion,intransitive. To go along as a part of the sea.,printed date range,http://www.oed.com/dictionary/sea_v
slanginess,SLANGINESS,10,noun,?1839-,1839,2,derivative,Very informal or colloquial character in…,printed date range,http://www.oed.com/dictionary/slanginess_n
thanatography,THANATOGRAPHY,13,noun,1839-,1839,2,compound,An account of a person's death.,printed date range,http://www.oed.com/dictionary/thanatography_n
van,VAN,3,verb,1839-,1839,3,conversion,transitive. To convey or transport (something…,printed date range,http://www.oed.com/dictionary/van_v2
within-bound,WITHINBOUND,11,adjective,1839-,1839,0,compound,Confined or experienced within bounds (in a school).,printed date range,http://www.oed.com/dictionary/within-bound_adj
constituentary,CONSTITUENTARY,14,adjective,1840-,1840,0,derivative,Pertaining to a constituent (sense A.2).,printed date range,http://www.oed.com/dictionary/constituentary_adj
cozling,COZLING,7,noun,1840-,1840,0,derivative,Little coz or cousin.,printed date range,http://www.oed.com/dictionary/cozling_n
crayonize,CRAYONIZE,9,verb,1840-,1840,0,derivative,"= crayon, v.; in quot. 1840 figurative to sketch…",printed date range,http://www.oed.com/dictionary/crayonize_v
episuperstruction,EPISUPERSTRUCTION,17,noun,1840-,1840,0,derivative,Additional superstruction.,printed date range,http://www.oed.com/dictionary/episuperstruction_n
erroneosity,ERRONEOSITY,11,noun,1840-,1840,0,derivative,= Erroneousness.,printed date range,http://www.oed.com/dictionary/erroneosity_n
I-ism,IISM,4,noun,1840-,1840,0,derivative,a. Metaphysics the reference of all things to…,printed date range,http://www.oed.com/dictionary/i-ism_n
indiscretionary,INDISCRETIONARY,15,adjective,1840-,1840,1,derivative,Of or pertaining to indiscretion.,printed date range,http://www.oed.com/dictionary/indiscretionary_adj
sanguine-heart,SANGUINEHEART,13,adjective,1840-,1840,0,compound,Crimson at the heart.,printed date range,http://www.oed.com/dictionary/sanguine-heart_adj
scarlety,SCARLETY,8,adjective,1840-,1840,1,derivative,Having a tinge of scarlet.,printed date range,http://www.oed.com/dictionary/scarlety_adj
scratchification,SCRATCHIFICATION,16,noun,1840-,1840,0,derivative,A spiteful attack.,printed date range,http://www.oed.com/dictionary/scratchification_n
sinescriptual,SINESCRIPTUAL,13,adjective,1840-,1840,0,borrowing,Not possessing the Scriptures.,printed date range,http://www.oed.com/dictionary/sinescriptual_adj
skeletoness,SKELETONESS,11,noun,1840-,1840,0,derivative,A female skeleton.,printed date range,http://www.oed.com/dictionary/skeletoness_n
tatterdemalionry,TATTERDEMALIONRY,16,noun,1840-,1840,0,derivative,The body of tatterdemalions.,printed date range,http://www.oed.com/dictionary/tatterdemalionry_n
ten-poundery,TENPOUNDERY,11,noun,1840-,1840,0,derivative,The body of ten-pound householders.,printed date range,http://www.oed.com/dictionary/ten-poundery_n
