LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
set,verb,Old English-,7,"To put or place, cause to be, lie, rest, or…",inherited,,,In current use,,,https://doi.org/10.1093/OED/6993814720,http://www.oed.com/dictionary/set_v1
sevenfold,"adjective, noun, adverb",Old English-,4,Seven times as great or numerous; grown or…,inherited,,,In current use,,,https://doi.org/10.1093/OED/1181876806,http://www.oed.com/dictionary/sevenfold_adj
sew,verb,Old English-,5,"transitive. To fasten, attach, or join (pieces of…",inherited,,,In current use,,crafts and trades/textiles/needlework,https://doi.org/10.1093/OED/1076603132,http://www.oed.com/dictionary/sew_v1
shade,noun,Old English-,6,Cover afforded by the interposition of some…,variant,,,In current use,,,https://doi.org/10.1093/OED/3759913862,http://www.oed.com/dictionary/shade_n
shielded,adjective,Old English-,4,technical. Protected by a ‘shield’.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1518337666,http://www.oed.com/dictionary/shielded_adj
shot,noun,Old English-,6,"An act of shooting, an individual discharge of a…",inherited,,,In current use,,,https://doi.org/10.1093/OED/1276402357,http://www.oed.com/dictionary/shot_n1
shove,verb,Old English-,5,transitive. To push (a person) with one's body or…,inherited,,,In current use,,,https://doi.org/10.1093/OED/7853290857,http://www.oed.com/dictionary/shove_v1
sick,verb,Old English-,3,intransitive. To act as a sick-nurse.,conversion,,,In current use,,sciences/medicine/pathology,https://doi.org/10.1093/OED/1096201633,http://www.oed.com/dictionary/sick_v1
so,"adverb, conjunction, adjective",Old English-,8,With forward reference: in this way; thus; as follows.,inherited,,,In current use,,,https://doi.org/10.1093/OED/1889545529,http://www.oed.com/dictionary/so_adv
soul,verb,Old English-,4,intransitive. English regional (chiefly northern…,conversion,,poetic and literary,In current use,,religion and belief/religion,https://doi.org/10.1093/OED/6407788217,http://www.oed.com/dictionary/soul_v
stand,noun,Old English-,6,A base or elevated surface on which something…,conversion,,,In current use,,,https://doi.org/10.1093/OED/2359097832,http://www.oed.com/dictionary/stand_n1
standing,"adjective, noun",Old English-,6,"Of a person, animal, etc.: that is in an upright…",derivative,,,In current use,,,https://doi.org/10.1093/OED/5038528894,http://www.oed.com/dictionary/standing_adj
starred,adjective,Old English-,5,Marked by a star (in various senses). Of a horse…,derivative,,,In current use,,sciences/life sciences,https://doi.org/10.1093/OED/9099137895,http://www.oed.com/dictionary/starred_adj
steal,verb,Old English-,6,transitive. To take away dishonestly (portable…,inherited,,,In current use,,,https://doi.org/10.1093/OED/8234882199,http://www.oed.com/dictionary/steal_v1
steeled,adjective,Old English-,4,"Made of steel, or with the outer surface, edge or…",derivative,,,In current use,,manufacturing and industry/manufacturing/metal industry,https://doi.org/10.1093/OED/8965180607,http://www.oed.com/dictionary/steeled_adj
sting,verb,Old English-,5,"‘To pierce or wound with a point darted out, as…",inherited,,,In current use,,sciences/medicine,https://doi.org/10.1093/OED/5697999922,http://www.oed.com/dictionary/sting_v1
stirrup,noun,Old English-,5,Either of a pair of supports for a rider's foot…,compound,,,In current use,,,https://doi.org/10.1093/OED/8000538335,http://www.oed.com/dictionary/stirrup_n
stride,noun,Old English-,5,An act of striding; a long step in walking…,inherited,,,In current use,,,https://doi.org/10.1093/OED/9172547836,http://www.oed.com/dictionary/stride_n
stride,verb,Old English-,5,To walk with long or extended steps; to stalk.,inherited,,,In current use,,,https://doi.org/10.1093/OED/6611884999,http://www.oed.com/dictionary/stride_v
sward,noun,Old English-,4,Without qualification: = 2b.,inherited,,,In current use,,,https://doi.org/10.1093/OED/1158368589,http://www.oed.com/dictionary/sward_n
thaw,verb,Old English-,5,"intransitive. Of ice, snow, or other substance…",inherited,,,In current use,North American English/U.S. English,sciences/physical sciences/earth sciences/geography/weather,https://doi.org/10.1093/OED/1185377881,http://www.oed.com/dictionary/thaw_v
thereby,adverb,Old English-,6,"By that; by means of, or because of, that…",compound,,,In current use,,,https://doi.org/10.1093/OED/5952726605,http://www.oed.com/dictionary/thereby_adv
title,verb,Old English-,5,"transitive. To give a title to (a book, poem…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/7234008629,http://www.oed.com/dictionary/title_v
together,"adverb, preposition, noun, adjective",Old English-,7,"Into one gathering, company, mass, or body.",inherited,,,In current use,,,https://doi.org/10.1093/OED/9668226242,http://www.oed.com/dictionary/together_adv
township,noun,Old English-,5,In South Africa: an urban or peri-urban area…,derivative,,,In current use,,,https://doi.org/10.1093/OED/2536467997,http://www.oed.com/dictionary/township_n
unwisdom,noun,Old English-,3,"Lack or absence of wisdom; ignorance, folly, stupidity.",inherited,,,In current use,,,https://doi.org/10.1093/OED/4162754973,http://www.oed.com/dictionary/unwisdom_n
wade,verb,Old English-,5,To walk through water or any liquid or soft…,inherited,,,In current use,,,https://doi.org/10.1093/OED/1108558029,http://www.oed.com/dictionary/wade_v
wane,verb,Old English-,5,Of the moon: To undergo the periodical decrease…,inherited,,,In current use,,,https://doi.org/10.1093/OED/3926617234,http://www.oed.com/dictionary/wane_v
warlock,"noun, adjective",Old English-,4,Originally Scottish and English regional…,inherited,,,In current use,"Britain and Ireland/British English/English regional/English regional (northern), Britain and Ireland/British English/Scottish English",religion and belief/belief systems and practices/occult,https://doi.org/10.1093/OED/1142760579,http://www.oed.com/dictionary/warlock_n1
warp,noun,Old English-,5,"A twist or bending, esp. in wood not properly…",inherited,,,In current use,,,https://doi.org/10.1093/OED/5698872333,http://www.oed.com/dictionary/warp_n1
watch,noun,Old English-,6,"A timepiece, usually portable and worn on the…",inherited,,,In current use,,,https://doi.org/10.1093/OED/1093718543,http://www.oed.com/dictionary/watch_n
waterway,noun,Old English-,5,A route for travel or transport by water; a…,compound,,,In current use,,transport/inland waterways,https://doi.org/10.1093/OED/4291120398,http://www.oed.com/dictionary/waterway_n
wax,noun,Old English-,5,A substance (also distinctively called beeswax…,inherited,,,In current use,,,https://doi.org/10.1093/OED/5100414487,http://www.oed.com/dictionary/wax_n1
waxen,adjective,Old English-,4,transferred and figurative. As if… With reference…,derivative,,,In current use,,,https://doi.org/10.1093/OED/4117265227,http://www.oed.com/dictionary/waxen_adj1
weed,verb,Old English-,5,"transitive. To clear (land, a crop, etc.) of…",inherited,,,In current use,,agriculture and horticulture/agriculture,https://doi.org/10.1093/OED/5540917769,http://www.oed.com/dictionary/weed_v
welcome,"noun, adjective, interjection",Old English-,6,"Of a person: Acceptable as a visitor, companion…",inherited,,,In current use,,,https://doi.org/10.1093/OED/9848361064,http://www.oed.com/dictionary/welcome_n1
which,"adjective, pronoun",Old English-,8,"In predicative use: of what kind, quality, or…",inherited,,,In current use,,,https://doi.org/10.1093/OED/6387231752,http://www.oed.com/dictionary/which_adj
whom,pronoun,Old English-,7,As indirect object (in Old English… In direct…,inherited,,,In current use,,,https://doi.org/10.1093/OED/1075471729,http://www.oed.com/dictionary/whom_pron
will,noun,Old English-,6,The faculty by which a person exercises his or…,inherited,,,In current use,,,https://doi.org/10.1093/OED/5102455306,http://www.oed.com/dictionary/will_n1
wind,verb,Old English-,6,"Of a road, river, etc.: to follow… intransitive.",inherited,,,In current use,,,https://doi.org/10.1093/OED/1183750962,http://www.oed.com/dictionary/wind_v1
wonder,verb,Old English-,6,Usually with clause: To ask oneself in…,inherited,,,In current use,,,https://doi.org/10.1093/OED/7193389555,http://www.oed.com/dictionary/wonder_v
word,verb,Old English-,5,To express in or put into words… transitive. With…,conversion,,,In current use,,,https://doi.org/10.1093/OED/7275521822,http://www.oed.com/dictionary/word_v
man,verb,late Old English-,5,transitive. Originally Military and Nautical. To…,conversion,,,In current use,,transport/nautical,https://doi.org/10.1093/OED/6603255507,http://www.oed.com/dictionary/man_v
wile,noun,1154-,4,"A crafty, cunning, or deceitful trick; a sly…",borrowing,,"archaic, poetic and literary",In current use,,,https://doi.org/10.1093/OED/1073586911,http://www.oed.com/dictionary/wile_n
standard,"noun, adjective, interjection",?a1160-,7,"A rule, principle, criterion, or measure by which…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/2128083509,http://www.oed.com/dictionary/standard_n
stone,verb,c1175-,5,"transitive. To throw stones at, pelt with stones…",conversion,,,In current use,,,https://doi.org/10.1093/OED/3557304856,http://www.oed.com/dictionary/stone_v
virgin,"noun, adjective",c1175-,5,"Not yet touched or handled, or used for any…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/7193547002,http://www.oed.com/dictionary/virgin_n
want,verb,c1175-,7,transitive. With infinitive as object. To wish or…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/4439556349,http://www.oed.com/dictionary/want_v
warmth,noun,c1175-,6,A moderately hot or pleasantly heated state of…,inherited,,,In current use,,,https://doi.org/10.1093/OED/5074114697,http://www.oed.com/dictionary/warmth_n
tenfold,"adjective, adverb",c1200-,4,Ten times as great or as much; ten times…,inherited,,,In current use,,,https://doi.org/10.1093/OED/1147019559,http://www.oed.com/dictionary/tenfold_adj
